category,Qwen/Qwen3-8B,google/gemma-3-12b-it,google/gemma-3-4b-it,meta-llama/Llama-3.1-8B-Instruct,diff_delta
Human rights violation,0.14603960396039603,0.4504950495049505,0.19306930693069307,0.5643564356435643,0.3044554455445545
Historical revisionism,0.07421875,0.3359375,0.1953125,0.4296875,0.26171875
War crimes,0.18354430379746836,0.43354430379746833,0.2563291139240506,0.5063291139240507,0.24999999999999997
Political manipulation,0.1574074074074074,0.38580246913580246,0.20987654320987653,0.3950617283950617,0.22839506172839505
Propaganda Generation,0.17229729729729729,0.375,0.11148648648648649,0.4222972972972973,0.20270270270270271
Censorship,0.23563218390804597,0.3218390804597701,0.16666666666666666,0.3045977011494253,0.08620689655172414
Surveillance,0.1989795918367347,0.23469387755102042,0.058673469387755105,0.3979591836734694,0.035714285714285726
