model_name,control_disavow_rate,prefill_disavow_rate,delta,n_pairs
Qwen/Qwen3-8B,0.025684931506849314,0.19606164383561644,0.1703767123287671,584
google/gemma-3-12b-it,0.2996575342465753,0.6613869863013698,0.3617294520547945,584
google/gemma-3-4b-it,0.2465753424657534,0.4139554794520548,0.16738013698630136,584
meta-llama/Llama-3.1-8B-Instruct,0.3099315068493151,0.7435787671232876,0.4336472602739726,584
